Date,Store,Dept,Weekly_Sales,IsHoliday
2010-02-05,1,1,20347.48,False
2010-02-12,1,1,36644.15,True
2010-02-19,1,1,27545.97,False
2010-02-26,1,1,15768.0,False
2010-03-05,1,1,17335.02,False
2010-03-12,1,1,17034.09,False
2010-03-19,1,1,16051.67,False
2010-03-26,1,1,18604.09,False
2010-04-02,1,1,38240.42,False
2010-04-09,1,1,28757.99,False
2010-04-16,1,1,15370.39,False
2010-04-23,1,1,13474.99,False
2010-04-30,1,1,13230.6,False
2010-05-07,1,1,15771.16,False
2010-05-14,1,1,14642.03,False
2010-05-21,1,1,14416.33,False
2010-05-28,1,1,14815.35,False
2010-06-04,1,1,14443.23,False
2010-06-11,1,1,14181.65,False
2010-06-18,1,1,14648.99,False
2010-06-25,1,1,13319.2,False
2010-07-02,1,1,15561.7,False
2010-07-09,1,1,15371.16,False
2010-07-16,1,1,15412.7,False
2010-07-23,1,1,15674.77,False
2010-07-30,1,1,16345.18,False
2010-08-06,1,1,16144.37,False
2010-08-13,1,1,15439.83,False
2010-08-20,1,1,15508.74,False
2010-08-27,1,1,16032.32,False
2010-09-03,1,1,16812.55,False
2010-09-10,1,1,17191.0,True
2010-09-17,1,1,18755.9,False
2010-09-24,1,1,18027.62,False
2010-10-01,1,1,19113.15,False
2010-10-08,1,1,20303.43,False
2010-10-15,1,1,22680.85,False
2010-10-22,1,1,27822.63,False
2010-10-29,1,1,32790.22,False
2010-11-05,1,1,29862.42,False
2010-11-12,1,1,18059.53,False
2010-11-19,1,1,17441.2,False
2010-11-26,1,1,18726.87,True
2010-12-03,1,1,21631.1,False
2010-12-10,1,1,24593.29,False
2010-12-17,1,1,37674.08,False
2010-12-24,1,1,40961.07,False
2010-12-31,1,1,15575.68,True
2011-01-07,1,1,14959.94,False
2011-01-14,1,1,16283.05,False
2011-01-21,1,1,17477.54,False
2011-01-28,1,1,17661.5,False
2011-02-04,1,1,20884.52,False
2011-02-11,1,1,31104.35,True
2011-02-18,1,1,38931.55,False
2011-02-25,1,1,15232.59,False
2011-03-04,1,1,17440.57,False
2011-03-11,1,1,17314.76,False
2011-03-18,1,1,19529.12,False
2011-03-25,1,1,16427.95,False
2011-04-01,1,1,17573.84,False
2011-04-08,1,1,17849.52,False
2011-04-15,1,1,21427.2,False
2011-04-22,1,1,39240.73,False
2011-04-29,1,1,27553.33,False
2011-05-06,1,1,16719.78,False
2011-05-13,1,1,15595.96,False
2011-05-20,1,1,15654.87,False
2011-05-27,1,1,14957.8,False
2011-06-03,1,1,15630.38,False
2011-06-10,1,1,14715.64,False
2011-06-17,1,1,14994.04,False
2011-06-24,1,1,15043.06,False
2011-07-01,1,1,15448.06,False
2011-07-08,1,1,14711.01,False
2011-07-15,1,1,14810.45,False
2011-07-22,1,1,15467.64,False
2011-07-29,1,1,14270.84,False
2011-08-05,1,1,15121.66,False
2011-08-12,1,1,14429.82,False
2011-08-19,1,1,15337.94,False
2011-08-26,1,1,15844.71,False
2011-09-02,1,1,16126.06,False
2011-09-09,1,1,17513.15,True
2011-09-16,1,1,19524.16,False
2011-09-23,1,1,19943.12,False
2011-09-30,1,1,19069.25,False
2011-10-07,1,1,21147.87,False
2011-10-14,1,1,20956.74,False
2011-10-21,1,1,24393.92,False
2011-10-28,1,1,30183.41,False
