Date,Store,Dept,Weekly_Sales,IsHoliday
2010-02-05,1,1,32452.79,False
2010-02-12,1,1,50360.71,True
2010-02-19,1,1,28504.7,False
2010-02-26,1,1,23033.73,False
2010-03-05,1,1,29662.3,False
2010-03-12,1,1,33445.02,False
2010-03-19,1,1,32835.67,False
2010-03-26,1,1,42763.12,False
2010-04-02,1,1,112577.06,False
2010-04-09,1,1,35152.11,False
2010-04-16,1,1,21808.82,False
2010-04-23,1,1,22586.32,False
2010-04-30,1,1,21999.42,False
2010-05-07,1,1,24490.83,False
2010-05-14,1,1,26328.78,False
2010-05-21,1,1,24172.09,False
2010-05-28,1,1,24620.96,False
2010-06-04,1,1,24627.71,False
2010-06-11,1,1,25365.21,False
2010-06-18,1,1,26814.4,False
2010-06-25,1,1,23550.61,False
2010-07-02,1,1,30062.8,False
2010-07-09,1,1,19652.86,False
2010-07-16,1,1,25879.24,False
2010-07-23,1,1,23931.39,False
2010-07-30,1,1,22542.45,False
2010-08-06,1,1,24751.15,False
2010-08-13,1,1,25806.32,False
2010-08-20,1,1,25113.16,False
2010-08-27,1,1,25563.71,False
2010-09-03,1,1,25411.88,False
2010-09-10,1,1,28617.2,True
2010-09-17,1,1,28454.77,False
2010-09-24,1,1,25118.4,False
2010-10-01,1,1,26639.49,False
2010-10-08,1,1,31218.32,False
2010-10-15,1,1,38887.87,False
2010-10-22,1,1,49615.02,False
2010-10-29,1,1,62570.66,False
2010-11-05,1,1,40480.26,False
2010-11-12,1,1,24367.79,False
2010-11-19,1,1,26789.13,False
2010-11-26,1,1,31584.1,True
2010-12-03,1,1,38643.86,False
2010-12-10,1,1,54543.65,False
2010-12-17,1,1,79924.38,False
2010-12-24,1,1,105559.48,False
2010-12-31,1,1,20041.74,True
2011-01-07,1,1,16715.69,False
2011-01-14,1,1,17423.16,False
2011-01-21,1,1,21415.71,False
2011-01-28,1,1,22234.76,False
2011-02-04,1,1,26869.74,False
2011-02-11,1,1,43500.89,True
2011-02-18,1,1,41773.63,False
2011-02-25,1,1,21667.28,False
2011-03-04,1,1,24331.71,False
2011-03-11,1,1,21008.97,False
2011-03-18,1,1,24772.35,False
2011-03-25,1,1,24107.49,False
2011-04-01,1,1,26797.13,False
2011-04-08,1,1,37220.41,False
2011-04-15,1,1,51884.37,False
