Date,Store,Dept,Weekly_Sales,IsHoliday
2010-02-05,1,1,17426.75,False
2010-02-12,1,1,37734.82,True
2010-02-19,1,1,22135.29,False
2010-02-26,1,1,14942.21,False
2010-03-05,1,1,17098.49,False
2010-03-12,1,1,15535.51,False
2010-03-19,1,1,15038.34,False
2010-03-26,1,1,17477.41,False
2010-04-02,1,1,43175.19,False
2010-04-09,1,1,42083.31,False
2010-04-16,1,1,12024.35,False
2010-04-23,1,1,12979.34,False
2010-04-30,1,1,12385.97,False
2010-05-07,1,1,14070.85,False
2010-05-14,1,1,13013.51,False
2010-05-21,1,1,12145.14,False
2010-05-28,1,1,12068.84,False
2010-06-04,1,1,12955.66,False
2010-06-11,1,1,12019.85,False
2010-06-18,1,1,11546.92,False
2010-06-25,1,1,11759.12,False
2010-07-02,1,1,11280.33,False
2010-07-09,1,1,12115.46,False
2010-07-16,1,1,10612.72,False
2010-07-23,1,1,11096.53,False
2010-07-30,1,1,11640.6,False
2010-08-06,1,1,11394.92,False
2010-08-13,1,1,9557.34,False
2010-08-20,1,1,10453.09,False
2010-08-27,1,1,10119.3,False
2010-09-03,1,1,11667.69,False
2010-09-10,1,1,11995.69,True
2010-09-17,1,1,12391.08,False
2010-09-24,1,1,12965.23,False
2010-10-01,1,1,13498.88,False
2010-10-08,1,1,15827.89,False
2010-10-15,1,1,17403.45,False
2010-10-22,1,1,19433.79,False
2010-10-29,1,1,32760.45,False
2010-11-05,1,1,36945.66,False
2010-11-12,1,1,11608.18,False
2010-11-19,1,1,12815.09,False
2010-11-26,1,1,14004.02,True
2010-12-03,1,1,18754.63,False
2010-12-10,1,1,24253.71,False
2010-12-17,1,1,36307.47,False
2010-12-24,1,1,43689.13,False
2010-12-31,1,1,18294.29,True
2011-01-07,1,1,11800.72,False
2011-01-14,1,1,11463.13,False
2011-01-21,1,1,12132.72,False
2011-01-28,1,1,13022.67,False
2011-02-04,1,1,14550.06,False
2011-02-11,1,1,23821.56,True
2011-02-18,1,1,44096.3,False
2011-02-25,1,1,13261.69,False
2011-03-04,1,1,15065.62,False
2011-03-11,1,1,14361.21,False
2011-03-18,1,1,14205.71,False
2011-03-25,1,1,14806.91,False
2011-04-01,1,1,15145.09,False
2011-04-08,1,1,15928.24,False
2011-04-15,1,1,20872.07,False
2011-04-22,1,1,37816.36,False
2011-04-29,1,1,43414.94,False
2011-05-06,1,1,12449.32,False
2011-05-13,1,1,12711.41,False
2011-05-20,1,1,12567.35,False
2011-05-27,1,1,11502.03,False
2011-06-03,1,1,12013.41,False
2011-06-10,1,1,13825.52,False
2011-06-17,1,1,11548.37,False
2011-06-24,1,1,10746.61,False
2011-07-01,1,1,11404.93,False
2011-07-08,1,1,11555.05,False
2011-07-15,1,1,12282.31,False
2011-07-22,1,1,11777.36,False
2011-07-29,1,1,11225.53,False
2011-08-05,1,1,12641.13,False
